0 1 2
1 2 68
4 3 69
6 5 71
8 7 73
10 9 75
12 11 77
14 13 79
16 15 81
18 17 83
20 19 85
22 21 87
24 23 89
26 25 91
28 27 93
31 29 95
34 30 96
36 32 98
38 33 99
40 35 101
42 37 103
44 39 105
46 41 107
48 43 109
50 45 111
52 47 113
54 49 115
56 51 117
58 53 119
60 55 121
62 57 123
64 59 125
66 61 127
134 63 129
135 65 131
137 67 133
139 70 136
141 72 138
143 74 140
145 76 142
147 78 144
149 80 146
151 82 148
153 84 150
155 86 152
157 88 154
159 90 156
161 92 158
162 94 160
164 97 163
165 100 166
167 102 168
169 104 170
171 106 172
173 108 174
175 110 176
177 112 178
179 114 180
181 116 182
183 118 184
185 120 186
187 122 188
189 124 190
191 126 192
193 128 194
195 130 196
197 132 198
