0 1 2
1 4 471
2 8 475
3 12 479
5 16 483
6 20 487
7 24 491
9 28 495
10 32 499
11 36 503
13 40 507
14 44 511
15 48 515
17 52 519
18 56 523
19 60 527
21 64 531
22 68 535
23 72 539
25 76 543
26 80 547
27 84 551
29 88 555
30 92 559
31 96 563
33 100 567
34 104 571
35 108 575
37 112 579
38 116 583
39 120 587
41 124 591
42 128 595
43 132 599
45 136 603
46 140 607
47 144 611
49 148 615
50 152 619
51 156 623
53 160 627
54 164 631
55 168 635
57 172 639
58 176 643
59 180 647
61 184 651
62 188 655
63 192 659
65 200 667
66 250 717
67 253 720
69 259 726
70 265 732
71 268 735
73 276 743
74 279 746
75 287 754
77 290 757
78 300 767
79 303 770
81 311 778
82 317 784
83 325 792
85 328 795
86 338 805
87 342 809
89 345 812
90 355 822
91 361 828
93 369 836
94 377 844
95 387 854
97 390 857
98 398 865
99 406 873
101 420 887
102 430 897
103 438 905
105 448 915
106 458 925
107 470 937
109 474 941
110 478 945
111 482 949
113 486 953
114 490 957
115 494 961
117 498 965
118 502 969
119 506 973
121 510 977
122 514 981
123 518 985
125 522 989
126 526 993
127 530 997
129 534 1001
130 538 1005
131 542 1009
133 546 1013
134 550 1017
135 554 1021
137 558 1025
138 562 1029
139 566 1033
141 570 1037
142 574 1041
143 578 1045
145 582 1049
146 586 1053
147 590 1057
149 594 1061
150 598 1065
151 602 1069
153 606 1073
154 610 1077
155 614 1081
157 618 1085
158 622 1089
159 626 1093
161 630 1097
162 634 1101
163 638 1105
165 642 1109
166 646 1113
167 650 1117
169 654 1121
170 658 1125
171 664 1131
173 666 1133
174 669 1136
175 674 1141
177 679 1146
178 683 1150
179 686 1153
181 691 1158
182 695 1162
183 698 1165
185 702 1169
186 705 1172
187 709 1176
189 711 1178
190 714 1181
191 716 1183
193 719 1186
194 723 1190
195 725 1192
196 729 1196
197 731 1198
198 734 1201
199 737 1204
201 740 1207
202 742 1209
203 745 1212
204 748 1215
205 751 1218
206 753 1220
207 756 1223
208 759 1226
209 761 1228
210 764 1231
211 766 1233
212 769 1236
213 772 1239
214 775 1242
215 777 1244
216 781 1248
217 783 1250
218 786 1253
219 789 1256
220 791 1258
221 794 1261
222 797 1264
223 799 1266
224 802 1269
225 804 1271
226 808 1275
227 811 1278
228 814 1281
229 816 1283
230 819 1286
231 821 1288
232 825 1292
233 827 1294
234 830 1297
235 833 1300
236 835 1302
237 838 1305
238 841 1308
239 843 1310
240 846 1313
241 848 1315
242 851 1318
243 853 1320
244 856 1323
245 859 1326
246 861 1328
247 864 1331
248 867 1334
249 870 1337
251 872 1339
252 876 1343
254 877 1344
255 880 1347
256 881 1348
257 884 1351
258 886 1353
260 889 1356
261 891 1358
262 894 1361
263 896 1363
264 899 1366
266 902 1369
267 904 1371
269 907 1374
270 909 1376
271 912 1379
272 914 1381
273 917 1384
274 919 1386
275 922 1389
277 924 1391
278 927 1394
280 929 1396
281 931 1398
282 934 1401
283 -1 -1
284 -1 -1
285 -1 -1
286 -1 -1
288 -1 -1
289 -1 -1
291 -1 -1
292 -1 -1
293 -1 -1
294 -1 -1
295 -1 -1
296 -1 -1
297 -1 -1
298 -1 -1
299 -1 -1
301 -1 -1
302 -1 -1
304 -1 -1
305 -1 -1
306 -1 -1
307 -1 -1
308 -1 -1
309 -1 -1
310 -1 -1
312 -1 -1
313 -1 -1
314 -1 -1
315 -1 -1
316 -1 -1
318 -1 -1
319 -1 -1
320 -1 -1
321 -1 -1
322 -1 -1
323 -1 -1
324 -1 -1
326 -1 -1
327 -1 -1
329 -1 -1
330 -1 -1
331 -1 -1
332 -1 -1
333 -1 -1
334 -1 -1
335 -1 -1
336 -1 -1
337 -1 -1
339 -1 -1
340 -1 -1
341 -1 -1
343 -1 -1
344 -1 -1
346 -1 -1
347 -1 -1
348 -1 -1
349 -1 -1
350 -1 -1
351 -1 -1
352 -1 -1
353 -1 -1
354 -1 -1
356 -1 -1
357 -1 -1
358 -1 -1
359 -1 -1
360 -1 -1
362 -1 -1
363 -1 -1
364 -1 -1
365 -1 -1
366 -1 -1
367 -1 -1
368 -1 -1
370 -1 -1
371 -1 -1
372 -1 -1
373 -1 -1
374 -1 -1
375 -1 -1
376 -1 -1
378 -1 -1
379 -1 -1
380 -1 -1
381 -1 -1
382 -1 -1
383 -1 -1
384 -1 -1
385 -1 -1
386 -1 -1
388 -1 -1
389 -1 -1
391 -1 -1
392 -1 -1
393 -1 -1
394 -1 -1
395 -1 -1
396 -1 -1
397 -1 -1
399 -1 -1
400 -1 -1
401 -1 -1
402 -1 -1
403 -1 -1
404 -1 -1
405 -1 -1
407 -1 -1
408 -1 -1
409 -1 -1
410 -1 -1
411 -1 -1
412 -1 -1
413 -1 -1
414 -1 -1
415 -1 -1
416 -1 -1
417 -1 -1
418 -1 -1
419 -1 -1
421 -1 -1
422 -1 -1
423 -1 -1
424 -1 -1
425 -1 -1
426 -1 -1
427 -1 -1
428 -1 -1
429 -1 -1
431 -1 -1
432 -1 -1
433 -1 -1
434 -1 -1
435 -1 -1
436 -1 -1
437 -1 -1
439 -1 -1
440 -1 -1
441 -1 -1
442 -1 -1
443 -1 -1
444 -1 -1
445 -1 -1
446 -1 -1
447 -1 -1
449 -1 -1
450 -1 -1
451 -1 -1
452 -1 -1
453 -1 -1
454 -1 -1
455 -1 -1
456 -1 -1
457 -1 -1
459 -1 -1
460 -1 -1
461 -1 -1
462 -1 -1
463 -1 -1
464 -1 -1
465 -1 -1
466 -1 -1
467 -1 -1
468 -1 -1
469 -1 -1
472 -1 -1
473 -1 -1
476 -1 -1
477 -1 -1
480 -1 -1
481 -1 -1
484 -1 -1
485 -1 -1
488 -1 -1
489 -1 -1
492 -1 -1
493 -1 -1
496 -1 -1
497 -1 -1
500 -1 -1
501 -1 -1
504 -1 -1
505 -1 -1
508 -1 -1
509 -1 -1
512 -1 -1
513 -1 -1
516 -1 -1
517 -1 -1
520 -1 -1
521 -1 -1
524 -1 -1
525 -1 -1
528 -1 -1
529 -1 -1
532 -1 -1
533 -1 -1
536 -1 -1
537 -1 -1
540 -1 -1
541 -1 -1
544 -1 -1
545 -1 -1
548 -1 -1
549 -1 -1
552 -1 -1
553 -1 -1
556 -1 -1
557 -1 -1
560 -1 -1
561 -1 -1
564 -1 -1
565 -1 -1
568 -1 -1
569 -1 -1
572 -1 -1
