0 1 2
1 16 47
2 18 49
3 20 51
4 22 53
5 24 55
6 26 57
7 28 59
8 31 62
9 48 79
10 50 81
11 52 83
12 54 85
13 56 87
14 58 89
15 60 91
17 -1 -1
19 -1 -1
21 -1 -1
23 -1 -1
25 -1 -1
27 -1 -1
29 -1 -1
30 -1 -1
32 -1 -1
33 -1 -1
34 -1 -1
35 -1 -1
36 -1 -1
37 -1 -1
38 -1 -1
39 -1 -1
40 -1 -1
41 -1 -1
42 -1 -1
43 -1 -1
44 -1 -1
45 -1 -1
46 -1 -1
61 -1 -1
63 -1 -1
64 -1 -1
65 -1 -1
66 -1 -1
67 -1 -1
68 -1 -1
69 -1 -1
70 -1 -1
71 -1 -1
72 -1 -1
73 -1 -1
74 -1 -1
75 -1 -1
76 -1 -1
77 -1 -1
78 -1 -1
80 -1 -1
82 -1 -1
84 -1 -1
86 -1 -1
88 -1 -1
90 -1 -1
92 -1 -1
93 -1 -1
