0 1 2
1 2 95
4 3 99
5 6 103
8 7 107
9 10 111
12 11 115
13 14 119
16 15 123
17 18 127
20 19 131
21 22 135
24 23 139
25 26 143
28 27 147
29 30 149
32 31 351
33 34 352
36 35 355
37 38 356
40 39 359
41 42 360
44 43 363
45 46 364
48 47 367
49 50 368
52 51 371
53 54 372
56 55 375
57 58 376
60 59 379
61 62 380
64 63 383
65 66 384
68 67 387
69 70 388
72 71 391
73 74 392
76 75 395
77 78 396
80 79 399
81 82 400
84 83 403
85 86 404
88 87 407
89 90 408
92 91 411
96 93 412
100 94 415
104 97 416
108 98 419
112 101 420
116 102 423
120 105 424
124 106 427
128 109 428
132 110 431
136 113 432
140 114 435
144 117 436
148 118 439
152 121 440
156 122 442
160 125 443
164 126 446
168 129 447
172 130 450
176 133 451
180 134 454
184 137 455
188 138 458
192 141 459
196 142 462
200 145 463
204 146 466
208 150 467
212 151 470
216 153 471
220 154 474
224 155 475
228 157 478
232 158 479
236 159 482
240 161 483
244 162 486
245 163 487
246 165 490
249 166 491
250 167 494
252 169 495
253 170 499
256 171 500
257 173 502
259 174 503
260 175 504
263 177 506
264 178 507
266 179 508
267 181 510
270 182 511
271 183 512
273 185 514
274 186 515
277 187 516
278 189 518
280 190 519
281 191 520
284 193 522
285 194 523
287 195 524
288 197 526
291 198 527
292 199 528
294 201 530
295 202 531
298 203 532
299 205 534
301 206 535
302 207 536
305 209 538
306 210 539
308 211 540
309 213 542
312 214 543
313 215 544
315 217 546
316 218 547
319 219 548
320 221 550
322 222 551
323 223 552
326 225 554
327 226 555
329 227 556
330 229 558
333 230 559
334 231 560
336 233 562
337 234 563
340 235 564
341 237 566
343 238 567
344 239 568
347 241 570
348 242 571
444 243 572
448 247 574
452 248 575
456 251 576
460 254 578
464 255 579
468 258 580
472 261 582
476 262 583
480 265 584
484 268 586
488 269 587
492 272 588
496 275 590
498 276 591
700 279 592
701 282 596
704 283 597
705 286 600
708 289 603
709 290 604
712 293 607
713 296 610
716 297 611
717 300 614
720 303 617
721 304 618
724 307 621
725 310 624
728 311 625
729 314 628
732 317 631
733 318 632
736 321 635
737 324 638
740 325 639
741 328 642
744 331 645
745 332 646
748 335 649
749 338 652
752 339 653
753 342 656
756 345 659
757 346 660
760 349 663
761 350 666
764 353 667
765 354 670
768 357 673
769 358 674
772 361 677
773 362 680
776 365 681
777 366 684
780 369 687
781 370 688
784 373 691
785 374 694
788 377 695
789 378 698
791 381 699
792 382 702
795 385 703
796 386 706
799 389 707
800 390 710
803 393 711
804 394 714
807 397 715
808 398 718
811 401 719
812 402 722
815 405 723
816 406 726
819 409 727
820 410 730
823 413 731
824 414 734
827 417 735
828 418 738
831 421 739
832 422 742
835 425 743
836 426 746
839 429 747
840 430 750
843 433 751
844 434 754
848 437 755
849 438 758
851 441 759
852 445 762
853 449 763
855 453 766
856 457 767
857 461 770
859 465 771
860 469 774
861 473 775
863 477 778
864 481 779
865 485 782
867 489 783
868 493 786
869 497 787
871 501 790
872 505 794
873 509 798
875 513 802
876 517 806
877 521 810
879 525 814
880 529 818
881 533 822
883 537 826
884 541 830
885 545 834
887 549 838
888 553 842
889 557 846
891 561 850
892 565 854
893 569 858
895 573 862
896 577 866
897 581 870
899 585 874
900 589 878
901 593 882
903 594 886
904 595 890
905 598 894
907 599 898
908 601 902
909 602 906
911 605 910
912 606 914
913 608 918
915 609 922
916 612 926
917 613 930
919 615 934
920 616 938
921 619 942
923 620 943
924 622 944
925 623 947
927 626 948
928 627 950
929 629 951
931 630 954
932 633 955
933 634 957
935 636 958
936 637 961
937 640 962
939 641 964
940 643 965
941 644 968
945 647 969
946 648 971
949 650 972
952 651 975
953 654 976
956 655 978
959 657 979
960 658 982
963 661 983
966 662 985
967 664 986
970 665 989
973 668 990
974 669 992
977 671 993
980 672 996
981 675 997
984 676 999
987 678 1000
988 679 1003
991 682 1004
994 683 1006
995 685 1007
998 686 1010
1001 689 1011
1002 690 1013
1005 692 1014
1008 693 1017
1009 696 1018
1012 697 1020
1015 793 1021
1016 797 1024
1019 801 1025
1022 805 1027
1023 809 1028
1026 813 1031
1029 817 1032
1030 821 1034
1033 825 1035
1036 829 1038
1037 833 1039
1040 837 1041
1043 841 1042
1044 845 1045
1047 847 1046
