0 1 2
1 17 83
2 19 85
3 21 87
4 23 89
5 25 91
6 27 93
7 29 95
8 32 98
9 33 99
10 82 148
11 84 150
12 86 152
13 88 154
14 90 156
15 92 158
16 94 160
18 97 163
20 102 168
22 104 170
24 106 172
26 108 174
28 110 176
30 112 178
31 114 180
34 116 182
35 118 184
36 120 186
37 122 188
38 124 190
39 126 192
40 128 194
41 130 196
42 132 198
43 -1 -1
44 -1 -1
45 -1 -1
46 -1 -1
47 -1 -1
48 -1 -1
49 -1 -1
50 -1 -1
51 -1 -1
52 -1 -1
53 -1 -1
54 -1 -1
55 -1 -1
56 -1 -1
57 -1 -1
58 -1 -1
59 -1 -1
60 -1 -1
61 -1 -1
62 -1 -1
63 -1 -1
64 -1 -1
65 -1 -1
66 -1 -1
67 -1 -1
68 -1 -1
69 -1 -1
70 -1 -1
71 -1 -1
72 -1 -1
73 -1 -1
74 -1 -1
75 -1 -1
76 -1 -1
77 -1 -1
78 -1 -1
79 -1 -1
80 -1 -1
81 -1 -1
96 -1 -1
100 -1 -1
101 -1 -1
103 -1 -1
105 -1 -1
107 -1 -1
109 -1 -1
111 -1 -1
113 -1 -1
115 -1 -1
117 -1 -1
119 -1 -1
121 -1 -1
123 -1 -1
125 -1 -1
127 -1 -1
129 -1 -1
131 -1 -1
133 -1 -1
134 -1 -1
135 -1 -1
136 -1 -1
137 -1 -1
138 -1 -1
139 -1 -1
140 -1 -1
141 -1 -1
142 -1 -1
143 -1 -1
144 -1 -1
145 -1 -1
146 -1 -1
147 -1 -1
149 -1 -1
151 -1 -1
153 -1 -1
155 -1 -1
157 -1 -1
159 -1 -1
161 -1 -1
162 -1 -1
164 -1 -1
165 -1 -1
166 -1 -1
167 -1 -1
169 -1 -1
171 -1 -1
173 -1 -1
175 -1 -1
177 -1 -1
179 -1 -1
181 -1 -1
183 -1 -1
185 -1 -1
187 -1 -1
189 -1 -1
191 -1 -1
193 -1 -1
195 -1 -1
197 -1 -1
